"Beskrivelse","Kode","Kategori"
Opret en DataFrame fra lister,df = pandas.DataFrame(data),"Pandas"
Type,df.dtypes,"Pandas"
"Navngiv kolonner ved oprettelse","df = pandas.DataFrame(data, index=list0, columns=['navn', 'alder', 'medlem'])","Pandas"
Filtrer rækker baseret på en betingelse,df_medlem = df.loc[df.medlem == True],"Pandas"
Opret søjlediagram (bar plot),"df_medlem.plot.bar(y='r', xlabel='navn', ylabel='alder')","Pandas"
Ændr indeks til en bestemt kolonne,"df_load.set_index('Hour', drop=True, inplace=True)","Pandas"
Få antal rækker og kolonner i DataFrame,"df_load.shape","Pandas"
Hent statistisk beskrivelse af DataFrame,df_load.describe(),"Pandas"
Beregn summen af en kolonne,df_load.sum(),"Pandas"
Opret ny kolonne baseret på eksisterende data,df_res['nyt kolonnenavn'] = df_res['eksisterende kolonne'] * ???,"Pandas"
Vælg bestemte rækker og kolonner,".loc[indeks, kolonner]  eller .iloc[0:, 0:]","Pandas"
Opret et areaplot,df_load.plot.area(),"Pandas"
Indlæs CSV-fil til en DataFrame,df_load = pandas.read_csv('OTCloadCurves.csv'),"Pandas"
Udskriv de første værdier af en kolonne,df_sun['Date'].head(),"Pandas"
Konverter kolonne til datetime-format,"df_sun.Date = pandas.to_datetime(df_sun.Date, format='%Y-%m-%d %H:%M')","Pandas"
Udskriv alle kolonnenavne,df_sun.columns,"Pandas"
Slet en kolonne fra DataFrame,"df_sun.drop('Temp', axis=1, inplace=True)","Pandas"
Grupper data efter måned,df_sun_grouped = df_sun.groupby(by=df_sun.index.month),"Pandas"
Udskriv de første værdier af en gruppe (5),print(df_sun_grouped.get_group(5).head()),"Pandas"
Udskriv de sidste værdier af en gruppe (5),print(df_sun_grouped.get_group(5).tail()),"Pandas"
Beregn 20%-fraktil af en kolonne,"q20 = df_PV_day_prod.quantile(q=0.2, numeric_only=True)","Pandas"
Konverter til numpy array,df.to_numpy(),"Pandas"
Erstatter missing values med (default: sidste værdi) eller (med gennemsnitsværdi),df.ffill()     eller   df.fillna(df.mean()),"Pandas"
Sortér DataFrame efter en kolonne,"df.sort_values(by='kolonnenavn', ascending=True)","Pandas"
Flet to DataFrames,"df_flet = pd.merge(df1, df2, on='fælles_kolonne', how='inner')","Pandas"
Pivotér data,"df_pivot = df.pivot_table(values='værdi', index='række', columns='kolonne', aggfunc='sum')","Pandas"
Find unikke værdier i en kolonne,df['kolonnenavn'].unique(),"Pandas"
Tæl forekomster af værdier i en kolonne,df['kolonnenavn'].value_counts(),"Pandas"
Anvend en funktion på en kolonne,df['kolonnenavn'] = df['kolonnenavn'].apply(lambda x: x*2),"Pandas"
Omdøb kolonner,"df.rename(columns={'gammelt_navn': 'nyt_navn'}, inplace=True)","Pandas"
Håndter manglende værdier ved at fjerne dem,df.dropna(),"Pandas"
Håndter manglende værdier ved at erstatte dem,df.fillna(0),"Pandas"
Grupper og aggregér data,df.groupby('kolonnenavn').agg({'anden_kolonne': 'mean'}),"Pandas"
Eksporter DataFrame til CSV,"df.to_csv('filnavn.csv', index=False)","Pandas"
Indsæt en ny række i DataFrame,"df.loc[len(df)] = ['værdi1', 'værdi2', 'værdi3']","Pandas"
Find duplikerede rækker,df.duplicated(),"Pandas"
Fjern duplikerede rækker,df.drop_duplicates(),"Pandas"
Konverter en kolonne til kategorisk datatype,df['kolonnenavn'] = df['kolonnenavn'].astype('category'),"Pandas"
Find korrelation mellem kolonner,df.corr(),"Pandas"
